Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours),IncidentResolutionLevels,financial_scaled,user_scaled,time_scaled,vulnerabilityScore,attackContext,industryRisk,defense
4,2015,2,4,54.54,775866,1,2,0,69,Slow,0.543170167856066,0.7760543068481032,0.9577464788732395,0.7192390856563156,8,18,10
9,2015,5,5,26.98,763017,1,0,3,24,Moderate,0.26615740275404565,0.7631951609820149,0.323943661971831,0.4765297578887905,11,20,28
7,2015,4,5,84.08,71334,3,1,0,26,Moderate,0.8400844305960399,0.07096599216782042,0.35211267605633806,0.43484270431681177,22,21,20
4,2015,0,5,7.84,323011,2,0,2,25,Moderate,0.07377625892049453,0.32284172211875173,0.33802816901408456,0.22625282621851545,12,20,2
5,2015,2,0,97.28,694308,2,2,4,66,Slow,0.9727610815157304,0.6944319067744451,0.9154929577464789,0.849975786865366,14,2,14
9,2015,1,5,84.7,542283,0,0,3,64,Slow,0.846316212684692,0.5422868643359611,0.8873239436619719,0.7329060195406556,1,20,8
9,2015,0,0,98.39,306320,1,1,0,41,Slow,0.9839179817067043,0.3061375425210492,0.5633802816901409,0.6286982660291296,6,1,0
5,2015,3,3,28.6,690500,0,2,2,11,Fast,0.2824404462760077,0.6906208998900133,0.14084507042253522,0.4173935525509155,3,14,17
0,2015,1,3,62.34,796100,0,0,0,20,Moderate,0.621570007035883,0.7963042840801393,0.26760563380281693,0.6206708432069724,1,12,5
5,2015,5,2,46.2,245370,1,0,0,57,Slow,0.4593426475022616,0.24513941499843378,0.7887323943661972,0.4395393038735176,11,8,25
8,2015,4,0,32.0,712739,2,2,1,17,Moderate,0.31661473514926125,0.7128774603161895,0.22535211267605634,0.4568673007213916,16,2,21
6,2015,1,3,27.92,775042,3,3,2,12,Fast,0.27560558850135697,0.7752296561987408,0.15492957746478872,0.45132001337299693,19,15,7
1,2015,3,4,16.44,82841,1,0,2,36,Moderate,0.16021710724695953,0.0824820783598259,0.49295774647887325,0.19567122353848884,9,16,17
7,2015,1,6,69.34,20269,3,0,4,36,Moderate,0.6919288370690523,0.019860670068684194,0.49295774647887325,0.3833073521508692,19,24,9
2,2015,0,6,61.24,965727,2,3,0,32,Moderate,0.6105136194592422,0.9660652254628903,0.4366197183098592,0.7179554816308249,12,27,0
2,2015,2,5,47.2,529593,0,3,4,64,Slow,0.4693939089355715,0.5295868440199317,0.8873239436619719,0.5770570899145957,2,23,14
4,2015,1,0,56.13,526658,2,2,4,38,Slow,0.5591516735350287,0.5266495264763899,0.5211267605633804,0.5385458321172436,13,2,9
7,2015,0,2,97.4,23096,3,2,3,38,Slow,0.9739672328877276,0.022689902332940694,0.5211267605633804,0.5028882062009434,18,10,3
2,2015,3,0,18.39,541829,2,3,1,33,Moderate,0.1798170670419138,0.5418325058471134,0.4507042253521127,0.3788006742260334,15,3,16
9,2015,0,2,41.75,327171,3,1,4,41,Slow,0.4146145341240326,0.327005006950484,0.5633802816901409,0.40932387276783483,18,9,4
7,2015,4,4,49.3,879875,1,3,2,61,Slow,0.4905015579455222,0.8801454347480162,0.8450704225352113,0.7172728815844577,10,19,22
8,2015,4,4,26.12,21580,3,2,0,14,Moderate,0.25751331792139914,0.021172705264453657,0.18309859154929578,0.1480941275842003,22,18,20
6,2015,1,3,26.29,808392,0,2,0,4,Fast,0.2592220323650618,0.8086059901262096,0.04225352112676056,0.4355819132218607,1,14,5
